Filename	Document Name	Parties	Agreement Date	Effective Date	Expiration Date	Renewal Term (Days)	Notice Period To Terminate Renewal	Termination For Convenience	Change Of Control	Anti-Assignment	Revenue/Profit Sharing	Ip Ownership Assignment	Joint Ip Ownership	Non-Transferable License	Source Code Escrow	Post-Termination Services	Audit Rights	Uncapped Liability	Cap On Liability	Liquidated Damages	Warranty Duration
EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement.pdf	CO-BRANDING AGREEMENT	"About.com, Inc. (""About""); ebix.com, Inc. (""ebix"")"	1/19/01	1/19/01				Yes	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	No	Yes	No	No
InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement.pdf	CO-BRANDING AGREEMENT	"At Home Corporation (""Excite@Home"" or ""Excite""); e-centives, Inc. (""Application Provider"" or ""e-centives"")"	2/16/00	2/16/00				No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement.pdf	CO-BRANDING AGREEMENT	"Lucent Technologies Inc. (""Lucent""); mPhase Technologies Inc. (""mPhase"")(""a Party"" and collectively, ""the Parties"")"	1/21/03		1/21/04	365		Yes	Yes	Yes	No	No	No	No	No	No	No	No	Yes	No	No
LeadersonlineInc_20000427_S-1A_EX-10.8_4991089_EX-10.8_Co-Branding Agreement.pdf	CO-BRANDING AGREEMENT	"VerticalNet, Inc. (""VerticalNet""); LeadersOnline, Inc. (""LeadersOnline"")(""Party"" and together the ""Parties"")"	3/15/00	3/15/00	6/15/01	365		No	No	Yes	Yes	No	Yes	Yes	No	No	Yes	Yes	Yes	No	No
NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement.pdf	CO-BRANDING AGREEMENT	"VerticalNet, Inc. (""VerticalNet""); Neoforma.com, Inc. (""Neoforma"")"	11/19/99	11/19/99	11/19/01	365	30	No	No	Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	Yes	No	No
PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement.pdf	CO-BRANDING AGREEMENT	"VerticalNet, Inc. (""""VerticalNet""); PaperExchange.com, LLC (""PaperExchange"")"		9/30/99	9/30/03	365	30	No	No	Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No
RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement.pdf	CO-BRANDING AGREEMENT	"Dassault Systemes (""Dassault Systemes"") and/or certain affiliates of Dassault Systems; PlanetCAD Inc. (""PlanetCAD"")(""Party,"" together, the ""Parties"")"	11/14/00	11/14/00	11/14/03	365	180	No	Yes	Yes	Yes	No	Yes	Yes	No	No	Yes	Yes	Yes	No	No
TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.pdf	CO-BRANDING Agreement	"theglobe.com, Inc. (""theglobe""); The Boxlot Company (""Boxlot"")"	3/1/99	3/1/99				No	Yes	Yes	Yes	No	Yes	No	No	No	Yes	Yes	Yes	No	No
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement1.pdf	CO-BRANDING AGREEMENT	"PC QUOTE, INC. (""PCQ""); AB Wately, Inc. and all of its subsidiaries and related companies (""ABW"" )"	10/11/96	10/11/96				No	No	Yes	No	No	No	No	No	No	No	No	Yes	No	No
RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement.pdf	CO-BRANDING AGREEMENT                                      (FORM)	"NETTAXI Online Communities, Inc. (""NETTAXI""); Solutions Media, Inc.(dba SpinRecords.com, ""SpinRecords.com"" or ""Client"")"	11/5/99	11/5/99	11/5/00	365	60	Yes	Yes	Yes	Yes	No	No	Yes	No	No	Yes	Yes	Yes	No	No
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf	CO-BRANDING AND ADVERTISING AGREEMENT	"I-ESCROW, INC.  (""i-Escrow"" ); 2THEMART.COM, INC. (""2TheMart"")"	6/21/99	6/21/99	6/21/00	365	30	No	Yes	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.pdf	CO-BRANDING AND SERVICES AGREEMENT	"RSL COM PrimeCall, Inc. (""PrimeCall""); deltathree.com, Inc. (formerly known as Delta Three, Inc.) (""DeltaThree"")"	10/1/99	10/1/99	10/1/02			No	Yes	Yes	No	No	No	No	No	No	No	No	Yes	No	No
HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement.pdf	CO-BRANDING CONTENT AGREEMENT	"MEDIALINX INTERACTIVE, L.P. (""MLX""); HEALTHCENTRAL.com INC. (""HCI"")"	6/30/99	9/1/99	9/1/01			No	Yes	Yes	Yes	No	No	Yes	No	No	Yes	Yes	Yes	No	No
AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement.pdf	"CO-BRANDING, MARKETING AND DISTRIBUTION AGREEMENT"	"Amazon.com Commerce Services, Inc. (""ACSI""); Audible Inc. (""Company"")(""Parties"" and individually as a ""Party"")"	1/30/00	1/30/00	1/30/03			No	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	No
PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement.pdf	CO-DEVELOPMENT AGREEMENT	"PhaseBio Pharmaceuticals Inc. (""PB""); SFJ Pharmaceuticals X, Ltd. (""SFJ"")(""party"" and collectively, the ""Parties"")"	1/9/20	1/9/20				No	Yes	Yes	Yes	Yes	No	No	No	Yes	Yes	No	Yes	Yes	No
BEYONDCOMCORP_08_03_2000-EX-10.2-CO-HOSTING AGREEMENT.PDF	Co-Hosting Agreement	"NETWORKS ASSOCIATES, INC. (""NAI""); SOFTWARE.NET CORPORATION (""a.k.a. Beyond.com"" or ""Co-Host"")"	9/21/98	9/21/98	9/21/01			No	No	Yes	No	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.pdf	CO-PROMOTION AGREEMENT	"Dova Pharmaceuticals, Inc. (""Dova""); Valeant Pharmaceuticals North America LLC (""Valeant"")(""Party"" and together as the ""Parties"")"	9/26/18	9/26/18	9/26/22			Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	Yes	Yes	Yes	Yes	No
NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.pdf	COLLABORATION & ENDORSEMENT AGREEMENT	"The Naked Brands Group, Inc (""Naked""); Wade Enterprises, LLC (""Wade Enterprises""); f/s/o Dwayne Wade (""Athlete"" and together with Wade Enterprises (collectively, ""Wade""); Wade Enterprises, Athlete and togetherwith Naked, (“Party” and collectively, the “Parties”)"	6/15/15	6/15/15	6/15/19	1085		No	No	Yes	Yes	No	Yes	Yes	No	Yes	No	No	No	No	No
MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT.PDF	Collaboration Agreement	"MacroGenics, Inc. (""MacroGenics""); Green Cross Corp. (""Green Cross""); MacroGenics and Green Cross (individually as a “Party” or collectively as the “Parties"")"	6/1/10	6/1/10				No	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	No	No
SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement.PDF	Collaboration Agreement	"Didi Chuxing Technology Co., Ltd. (""Party A""); Hunan Ruixi Financial Leasing Co., Ltd (""Party B""); Party A and Party B (individually referred to as a “Party” and collectively as the “Parties”)"	12/17/18	12/17/18	12/17/19			Yes	No	Yes	No	No	No	No	No	Yes	No	No	Yes	Yes	No
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT.PDF"	COLLABORATION AGREEMENT	"Ginkgo Bioworks, Inc. (""Ginko""); Berkely Lights, Inc. (""BLI""); Gingko and BLI (""Party"", collectively as the ""Parties"")"	9/13/19	9/13/19	9/13/26			Yes	No	Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No
XENCORINC_10_25_2013-EX-10.24-COLLABORATION AGREEMENT (3).PDF	COLLABORATION AGREEMENT	"Xencor, Inc (""XENCOR""); Boehringer Ingelheim International GmbH (""BII""); BII and XENCOR (each a “Party” and collectively “Parties”)"	2/10/12	2/10/12				No	No	Yes	No	Yes	Yes	Yes	No	No	No	Yes	Yes	No	Yes
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement.PDF"	Collaboration Agreement	"F. Hoffmann-La Roche Ltd (""Roche Basel""); Hoffmann-La Roche Inc. (“Roche US”)(Roche Basel and Roche US together referred to as “Roche”); Foundation Medicine, Inc. (""FMI"")"						Yes	No	Yes	No	Yes	Yes	No	No	Yes	Yes	No	Yes	No	No
ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT.PDF	Collaboration Agreement	"Anixa Biosciences, Inc. (""Anixa""); OntoChem GmbH (""OntoChem"")( individually as a “Party” and collectively as the “Parties”)"	4/14/20	4/14/20				Yes	No	Yes	No	Yes	No	No	No	Yes	Yes	No	Yes	No	No
BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT.PDF	COLLABORATION AGREEMENT	"BIOCEPT, INC. (“Biocept”); LIFE TECHNOLOGIES  CORPORATION (“Life Technologies”)"	11/2/12	11/2/12	11/2/15			Yes	Yes	Yes	No	No	No	Yes	No	Yes	No	Yes	Yes	No	No
"CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT.PDF"	COLLABORATION AGREEMENT	"Capsugel US, LLC (""CAPSUGEL""); Cardax, Inc. (""CARDAX""); CARDAX and CAPSUGEL (each a “Party” and together the “Parties”)"	8/18/14	8/18/14				No	No	Yes	Yes	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No
"CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement.PDF"	COLLABORATION AGREEMENT	"INSTITUTE OF GRASSLAND AND  ENVIRONMENTAL RESEARCH (""IGER""); CERES, INC. (""CERES"")"	4/1/07	4/1/07	4/1/22			Yes	No	Yes	Yes	Yes	Yes	No	No	Yes	Yes	No	Yes	No	No
"INNOVIVA,INC_08_07_2014-EX-10.1-COLLABORATION AGREEMENT.PDF"	COLLABORATION AGREEMENT (“	"Theravance, Inc. (""Theravance""); Glaxo Group Limited (""GSK""); (Theravance and GSK, a “Party” or together, the “Parties”)"	11/14/02					No	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	No	Yes	No	No
FIBROGENINC_10_01_2014-EX-10.11-COLLABORATION AGREEMENT.PDF	COLLABORATION AGREEMENT (“A	"FibroGen, Inc. (""FG"", ""FibroGen""); Astellas Pharma Inc. (""Astellas"")"	6/1/05	6/1/05	perpetual			Yes	No	Yes	Yes	Yes	No	No	No	Yes	Yes	No	Yes	Yes	Yes
Microgenics Corporation - Collaborative Development and Commercialization Agreement.PDF	Collaborative Development and Commercialization Agreement	"Microgenics Corporation (""Microgenics""); Achaogen Inc. (""Achaogen""); (individually ""Party"" and collectively ""Parties"")"	4/26/16	4/26/16	perpetual			Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	No	No
RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement.pdf	"COLLABORATIVE RESEARCH, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT"	"Revolution Medicines, Inc. (""Revmed""); Aventis, Inc. (""Sanofi"")(""Party"" and collectively as the ""Parties"")"	6/8/18	6/8/18				Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement.pdf	COLOGUARD® PROMOTION AGREEMENT	"Pfizer Inc. (“Pfizer”); Exact Sciences Corporation (""Exact"") (""Party"" and collectively as the ""Parties"")"	8/21/18	8/21/18	12/31/21			Yes	Yes	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes	Yes	No	No
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement.pdf	COMMERCIALIZATION AND LICENSE AGREEMENT	"Vyera Pharmaceuticals, LLC ('Vyera""); CytoDyn Inc. (""CytoDyn""); CytoDyn and Vyera (“Party” and collectively as the “Parties.”)"	12/17/19	12/17/19				Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	Yes	No	No
PRIMEENERGYRESOURCESCORP_04_02_2007-EX-10.28-COMPLETION AND LIQUIDITY MAINTENANCE AGREEMENT.PDF	COMPLEHON AGREEMENT AND UQITDITV MAINTENANCE AGREEMENT	"PRIMEEVERGY CORPORATION (""Prime); GUARANTY BANK (""Guaranty""); PRIME OFFSHORE L.L.C. (""Offshore"")"	6/29/06	6/29/06				No	No	No	No	No	No	No	No	No	No	No	No	No	No
STARTECGLOBALCOMMUNICATIONSCORP_11_16_1998-EX-10.30-CONSTRUCTION AND MAINTENANCE AGREEMENT.PDF	CONSTRUCTION AND MAINTENANCE AGREEMENT	"ABS Telecom plc; AT&T Corp.; BARAK I.T.C; BC TEL; Belgacom S.A.; BellSouth International, Inc.; British Telecommunications pIc; Cable & Wireless Global Network Organisation Limited; Cable & Wireless, Inc.; Carrier 1 AG; COMPANHIA PORTUGUESA RADIO MARCONI, SA.; Com Tech International Corporation; CYPRUS TELECOMMUNICATIONS AUTHORITY; Deutsche Telekom AG; Energis Communications Limited; Emirates Telecommunications Corporation - ETISALAT; France Telecom; GTE Intelligent Network Services Incorporated; Hellenic Telecommunications Organisation S.A.; IXC Communications, Inc.; IXNET Limited; Japan Telecom Co., Ltd.; Kokusai Denshin Denwa Americas Inc.; KPN Telecom B.V; MCI International Inc.; NTT Worldwide Network Corporation; OY FINNET International AB; Pacific Gateway Exchange; Pacific Gateway Exchange Inc.; Rostelecom; RSL Communications Limited; Singapore Telecommunications Limited; Slovenske Telecomunicatie s.e.; Sonera Ltd.; Sprint Communications Company L.P. ; STAR Telecommunications Inc.; StarHub; STARTEC GLOBAL COMMUNICATIONS CORPORATION; Swisscom Ltd; Swisscom North America Inc.; Tele 2 AB; TeleBermuda International Limited; Tele Danmark A/S; Telef6nica de Espana, S.A.; Teleglobe USA; Telenor Global Services AS; Telesur; TELIA AB (publ); Telia North America Inc.; Transoceanic Communications Incorporated; Turk Telekomunikasyon A.S.; Ultrallne (Bermuda) Limited; VIATEL; Videsh Sanchar Nigam Limited 
(hereinafter  collectively  called  ""Parties""  and  individually  called ""Party"")"	9/2/98	9/2/98	9/2/23			Yes	Yes	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No
SLINGERBAGINC_05_27_2020-EX-10.7-CONSULTING AGREEMENT.PDF	CONSULTING AGREEMENT	"Slinger Bag Inc. (the ""Company""); Aitan Zacharin ( the ""Consultant"")"						Yes	Yes	Yes	Yes	No	No	No	No	No	No	No	No	No	No
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT.PDF"	CONSULTING AGREEMENT	"Kriomic, Inc (""Company""); Gianluca Rotino (""Consultant"")"	7/20/18	7/1/18	perpetual			Yes	No	Yes	No	Yes	No	No	No	Yes	No	No	No	No	No
SPHERE3DCORP_06_24_2020-EX-10.12-CONSULTING AGREEMENT.PDF	CONSULTING AGREEMENT	"GROUPE PARAMEUS CORP (""Consultant""); Sphere 3D Corp. (""Company"")"	6/1/20	6/1/20	6/1/21	30	5	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT.PDF	CONSULTING AGREEMENT	"Global Technologies, Ltd (""Company""); Timothy Cabrera (""Consultant""); Company and Consultant (individually, a “Party”; collectively, the “Parties”)"	1/2/20	1/2/20	1/2/21			No	No	Yes	No	No	No	No	No	No	No	No	No	No	No
EMERALDHEALTHTHERAPEUTICSINC_06_10_2020-EX-4.5-CONSULTING AGREEMENT - DR. GAETANO MORELLO N.D. INC..PDF	CONSULTING AGREEMENT	"EMERALD HEALTH NATURALS, INC (“Emerald”, “Company”); DR. GAETANO MORELLO N.D. INC (""Contractor"")"	1/10/19	1/10/19				Yes	No	Yes	No	No	No	No	No	No	No	No	No	No	No
"MEDALISTDIVERSIFIEDREIT,INC_05_18_2020-EX-10.1-CONSULTING AGREEMENT.PDF"	CONSULTING AGREEMENT	"Gunston Consulting, LLC (""CONSULTANT""); Medalist Diversified REIT, Inc. (""REIT"", ""Company""); CONSULTANT and Company (collectively the ""Parties"")"	3/1/20	3/1/20	3/1/21	365		Yes	Yes	Yes	Yes	Yes	No	No	No	No	No	No	No	Yes	No
"DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT.PDF"	Consulting Agreement	"Driven Deliveries, Inc (""Company""); TruckThat LLC (""Consultant""); Company and Consultant (singularly as a “Party” or collectively as the “Parties”)"	5/1/19	5/1/19				Yes	No	Yes	No	Yes	No	No	No	Yes	No	No	Yes	No	No
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT.PDF"	CONSULTING AGREEMENT	"Aduro Biotech, Inc (""Aduro""); IREYA B.V (""Consultant"")"	6/1/20	7/1/20	12/31/20			Yes	No	No	No	Yes	No	No	No	No	No	No	No	No	No
PANDIONTHERAPEUTICSHOLDCOLLC_05_22_2020-EX-10.17-CONSULTING AGREEMENT.PDF	CONSULTING AGREEMENT	"Immunotolerance, Inc. (""Company""); Alan Crane (""Consultant"")"	3/27/17		3/27/21	365	90	Yes	No	Yes	Yes	Yes	No	No	No	No	No	No	No	No	No
"CORALGOLDRESOURCES,LTD_05_28_2020-EX-4.1-CONSULTING AGREEMENT.PDF"	CONSULTING AGREEMENT	"CORAL GOLD RESOURCED LTD. (""Company""); INTERMARK CAPITAL CORP. (""Consultant"")"	2/1/20	2/1/20	2/1/25			Yes	Yes	Yes	No	Yes	No	No	No	Yes	No	No	Yes	Yes	No
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1).PDF"	CONSULTING AGREEMENT	"Aduro Biotech, Inc. (""Aduro""); IREYA B.V (""Consultant"")"	6/1/20	7/1/20	12/31/20			Yes	No	Yes	No	Yes	No	No	No	No	No	No	No	No	No
EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement.pdf	Consulting and Product Development Agreement	"Emerald Health Sciences Inc. (""EHS""); Emerald Health Nutraceuticals Inc. (""EHN""); Michael T. Murray, N.D. (""Dr. Murray"")"	9/1/16	9/1/16	12/31/18	730	90	Yes	No	Yes	Yes	No	No	No	No	No	No	No	No	No	No
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf	CONTENT DISTRIBUTION AND LICENSE AGREEMENT	"CONVERGTV, INC. (“ConvergTV”); Fulucai Productions Ltd. (""Producer"")"	11/15/12	11/15/12	11/15/14			No	No	No	Yes	No	No	No	No	No	Yes	No	No	No	No
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf	CONTENT LICENSE AGREEMENT	"Beijing Sun Seven Stars Culture Development Limited (""Licensor""); YOU ON DEMAND HOLDINGS, INC (""Licensee"")"	12/21/15	12/21/15	12/21/35			No	No	Yes	Yes	No	No	No	No	No	Yes	Yes	Yes	No	No
GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content License Agreement.pdf	CONTENT LICENSE AGREEMENT	"Global Music International, Inc. d/b/a Independent Music Network (""IMNTV""); MobileVision Communications, Ltd. (""Distributor"")"	7/13/05	7/13/05	7/13/06	365		No	No	Yes	Yes	No	No	No	No	Yes	No	No	Yes	No	No
PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement.pdf	CONTENT LICENSE AGREEMENT	"PACIFICAP ENTERTAINMENT (""Licensor""); THE HENRY FILM AND ENTERTAINMENT CORPORATION (""Licensee"")"	11/3/05			1085	60	No	No	No	Yes	Yes	No	No	No	No	No	No	No	No	No
WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement.pdf	CONTENT LICENSE AGREEMENT	"Emdeon Corporation (""Emdeon""); WebMD, Inc. (""WebMD"")"	10/1/05	10/1/05	8/31/06	365		No	No	Yes	No	No	No	Yes	No	Yes	No	No	Yes	No	No
CHINARECYCLINGENERGYCORP_11_14_2013-EX-10.6-Cooperation Agreement.PDF	Cooperation Agreement	"Xi'an Zhonghong New Energy Technology Co., Ltd. (""Party A""); Boxing County Chengli Gas Supply Co., Ltd. (""Party B"")"	7/1/13		7/1/33			No	No	No	Yes	No	No	No	No	No	No	No	No	No	No
IDREAMSKYTECHNOLOGYLTD_07_03_2014-EX-10.39-Cooperation Agreement on Mobile Game Business.PDF	Cooperation Agreement	"Dazzle Interactive Network Technologies Co., Ltd. (""Party A""); Shenzhen iDreamSky Technology Co., Ltd. (""Party B"")"	1/1/13	1/1/13	1/1/14	365		No	Yes	Yes	Yes	No	No	No	No	No	No	No	No	Yes	No
ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT.PDF	Cooperation Agreement	"VA Partners I, LLC, ValueAct Capital Master Fund, L.P., ValueAct Capital Management, L.P., ValueAct Capital Management, LLC, ValueAct Holdings, L.P. (collectively, the “ValueAct Group”, and individually a “member” of the ValueAct Group); Allison Transmission Holdings, Inc. (the “Company”); Gregory P. Spivy (the “ValueAct Designee”)"	12/12/14					No	No	Yes	No	No	No	No	No	No	No	No	No	No	No
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT.PDF"	Cooperation Agreement	"MG Capital Management Ltd. (“MG Capital”); Percy Rockdale LLC (""Percy Rockdale”); Rio Royal LLC (""Rio Royal""); (collectively Rio Royal, together with MG Capital and Percy Rockdale, the ""MG Capital Parties""); HC2 Holdings, Inc. (""Company""); Each of the MG Capital Parties and the Company are referred to herein as a “Party” and collectively, as the “Parties"""	5/13/20					No	No	Yes	No	No	No	No	No	No	No	No	No	No	No
HPILHOLDING_01_07_2015-EX-99.1-COOPERATION AGREEMENT.PDF	COOPERATION AGREEMENT	"HPIL ENERGYTECH Inc. (""HPIL ET""); GINARES GROUP AG (""GINARES""); HPIL ET and GINARES (individually as ""Party, or collectively the ""Parties"")"	1/5/15	1/5/15	1/5/16			Yes	No	Yes	No	No	No	No	No	No	No	No	Yes	No	No
"MEETGROUP,INC_06_29_2017-EX-10.1-COOPERATION AGREEMENT.PDF"	COOPERATION AGREEMENT	"Meet Group, Inc. (""Company""); HARVEST SMALL CAP PARTNERS MASTER, LTD (""Investor"", collectively, the “Investors” or, with their respective affiliates and associates, the “Investor Group”); HARVEST SMALL CAP PARTNERS, L.P.  (“Investor” and collectively, the “Investors” or, with their respective affiliates and associates, the “Investor Group”); HARVEST CAPITAL STRATEGIES LLC (""Investor” and collectively, the “Investors” or, with their respective affiliates and associates, the “Investor Group”)"	6/27/17					No	Yes	Yes	No	No	No	No	No	No	No	No	No	No	No
QIWI_06_16_2017-EX-99.(D)(2)-COOPERATION AGREEMENT.PDF	Cooperation Agreement	"Otkritie Investments Cyprus Limited (“OICL” and together with its Affiliates, “Otkritie”); QIWI plc (“QIWI”, and, together with its Affiliates, “QIWI Group”); OICL and QIWI (individually as ""Parties"" and together as ""Parties"")"	6/2/15		6/2/20			No	No	Yes	No	No	No	No	No	Yes	No	No	Yes	No	No
"SPIENERGYCO,LTD_07_10_2014-EX-10-Cooperation Agreement of 50MWp Photovoltaic Grid-connected Power Generation Project in Yangqiao of~1.PDF"	Cooperation Agreement	"People’s Government of Fenyi County (""Party A""); Xinyu Xinwei New Energy Co., Ltd. (""Party B"")"	6/25/14					No	No	No	No	No	No	No	No	No	No	No	No	No	No
"SPOKHOLDINGS,INC_06_19_2020-EX-10.1-COOPERATION AGREEMENT.PDF"	Cooperation Agreement	"Spôk Holdings, Inc. (""Company""); White Hat Strategic Partners LP; White Hat SP GP LLC; White Hat Capital Partners LP; White Hat Capital Partners GP LLC; (collectively the ""White Hat Parties""); each of the Company and White Hat Parties a ""Party""' collectively ""Parties"""	6/18/20		perpetual			No	No	Yes	No	No	No	No	No	No	No	No	No	No	No
URSCORPNEW_03_17_2014-EX-99-COOPERATION AGREEMENT.PDF	COOPERATION AGREEMENT	"JANA Partners LLC (""JANA""); URS Corporation (""Company"")"	3/13/14					No	No	No	No	No	No	No	No	No	No	No	No	No	No
"ELFBEAUTY,INC_07_02_2020-EX-10.1-COOPERATION AGREEMENT.PDF"	Cooperation Agreement (	"e.l.f. Beauty, Inc. (""Company"", ""Party""); Marathon Partners Equity Management, LLC (""Marathon Partners"", ""Party"", collectively with Marathon Partners L.P., Marathon Focus Fund L.P., Marathon Partners LUX Fund, L.P., Cibelli Research & Management, LLC, and Mario Cibelli, the ""Marathon Parties""); Marathon Partners L.P. (""Party"", collectively with Marathon Partners Equity Management, LLC, Marathon Focus Fund L.P.,Marathon Partners LUX Fund, L.P., Cibelli Research & Management, LLC, and Mario Cibelli, the ""Marathon Parties""); Marathon Focus Fund L.P.  (""Party"", collectively with Marathon Partners Equity Management, LLC, Marathon Partners L.P., Marathon Partners LUX Fund, L.P., Cibelli Research & Management, LLC, and Mario Cibelli, the ""Marathon Parties""); Marathon Partners LUX Fund, L.P. (""Party"", collectively with Marathon Partners Equity Management, LLC, Marathon Partners L.P., Marathon Focus Fund L.P., Cibelli Research & Management, LLC, and Mario Cibelli, the ""Marathon Parties""); Cibelli Research & Management, LLC (""Party"", collectively with Marathon Partners Equity Management, LLC, Marathon Partners L.P., Marathon Focus Fund L.P., Marathon Partners LUX Fund, L.P., and Mario Cibelli, the ""Marathon Parties""); Mario Cibelli (""Party"", collectively with Marathon Partners Equity Management, LLC, Marathon Partners L.P., Marathon Focus Fund L.P., Marathon Partners LUX Fund, L.P., and Cibelli Research & Management, LLC, the ""Marathon Parties"")"	7/1/20					No	No	Yes	No	No	No	No	No	No	No	No	No	No	No
TUNIUCORP_03_06_2014-EX-10-COOPERATION AGREEMENT.PDF	Cooperation Agreement (2014 Amendment)	"Nanjing Tuniu Technology Co., Ltd. (""Party A""); Beijing Tuniu Technology Co., Ltd. (""Party B"")"	1/24/14	1/24/14	perpetual			Yes	No	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	No
FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.pdf	Corporate Sponsorship Agreement	"Freeze Tag Inc. (""Company""); American Diabetes Association (""Association"")"	3/22/18	3/14/18	3/14/20			No	Yes	Yes	No	No	No	Yes	No	No	No	No	No	No	No
"CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT.PDF"	CORPORATE SPONSORSHIP AGREEMENT	"Phoenix Performance, LLC (""Vendor""); Torevic Inc. (""Torvec"")"	5/18/10	5/18/10	10/31/10			No	No	Yes	No	No	No	Yes	No	No	No	No	Yes	No	No
